time,V_actual,alpha_actual,q_actual,beta_actual,p_actual,r_actual,V_cmd,alpha_cmd,q_cmd,beta_cmd,p_cmd,r_cmd,throttle_cmd,elevator_cmd,aileron_cmd,rudder_cmd,throttle_actual,elevator_actual,aileron_actual,rudder_actual
0.0640,400.1316,0.002982,0.015028,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0337,0.0000,-0.0000,0.6661,-0.0513,0.0000,-0.0000
0.0680,400.1401,0.003174,0.015148,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0337,0.0000,-0.0000,0.6661,-0.0513,0.0000,-0.0000
0.0720,400.1486,0.003367,0.015270,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0420,0.0000,-0.0000,0.6661,-0.0513,0.0000,-0.0000
0.0760,400.1570,0.003560,0.015387,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0420,0.0000,-0.0000,0.6661,-0.0430,0.0000,-0.0000
0.0800,400.1655,0.003750,0.015381,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0420,0.0000,-0.0000,0.6661,-0.0430,0.0000,-0.0000
0.0840,400.1739,0.003940,0.015377,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0479,0.0000,-0.0000,0.6661,-0.0430,0.0000,-0.0000
0.0880,400.1823,0.004130,0.015371,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0479,0.0000,-0.0000,0.6661,-0.0371,0.0000,-0.0000
0.0920,400.1907,0.004317,0.015278,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0479,0.0000,-0.0000,0.6661,-0.0371,0.0000,-0.0000
0.0960,400.1992,0.004504,0.015186,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0520,0.0000,-0.0000,0.6661,-0.0371,0.0000,-0.0000
0.1000,400.2075,0.004690,0.015094,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6661,0.0520,0.0000,-0.0000,0.6661,-0.0330,0.0000,-0.0000
0.1040,400.2160,0.004873,0.014941,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0520,0.0000,-0.0000,0.6661,-0.0330,0.0000,-0.0000
0.1080,400.2243,0.005056,0.014790,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0548,0.0000,-0.0000,0.6539,-0.0330,0.0000,-0.0000
0.1120,400.2323,0.005238,0.014638,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0548,0.0000,-0.0000,0.6539,-0.0302,0.0000,-0.0000
0.1160,400.2400,0.005417,0.014445,0.000000,-0.000000,-0.000000,400.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.6539,0.0548,0.0000,-0.0000,0.6539,-0.0302,0.0000,-0.0000
